李商隐@唐代,咸阳;青山
李白@唐代,黄山
白居易@唐代,长安;荆州
杜甫@唐代,洛阳;江夏;苍梧
苏轼@宋代,青山
王维@唐代,江州
刘禹锡@唐代,左冯翊;历阳;江西
杜牧@唐代,天津;龙门;应
孟浩然@唐代,应
齐己@唐代,云阳
辛弃疾@宋代,孝感
李清照@宋代,龙城;平凉;奉天;应
纳兰性德@清代,长安;云浮
陆游@宋代,安西
陶渊明@魏晋,开封;长沙
元稹@唐代,长安
柳宗元@唐代,阳武
韩愈@唐代,应
王安石@宋代,白马
岑参@唐代,东郡;阳城;应
欧阳修@宋代,京师;应
贾岛@唐代,应
王昌龄@唐代,江东
罗隐@唐代,韦曲
陆龟蒙@唐代,三户
张祜@唐代,东平
权德舆@唐代,义兴
贺铸@宋代,黄冈
皇甫冉@唐代,云中;南阳;荆州
文天祥@宋代,凤翔;吉州
韦应物@唐代,北京
温庭筠@唐代,应
刘长卿@唐代,洛阳;广陵
李贺@唐代,陇西
曹植@魏晋,白马;太平
张籍@唐代,中州;洛阳;长安
孟郊@唐代,南阳
杨万里@宋代,东吴
皎然@唐代,西楼
许浑@唐代,青溪;温州
贯休@唐代,青山
韦庄@唐代,云中;应
王勃@唐代,夹谷;龙门;白马;洛阳;三川;下蔡;中都;山南;成都;北海
范仲淹@宋代,许州
王建@唐代,洛阳;西京
晏殊@宋代,上元
岳飞@宋代,汉阳
卢纶@唐代,汾州;万年
周邦彦@宋代,江南
杜荀鹤@唐代,应
秦观@宋代,广陵
钱起@唐代,长安
朱熹@宋代,应
韩偓@唐代,青山
高适@唐代,洛阳
皮日休@唐代,应
马致远@元代,京师;大都;洛阳;长安;扬州;江南;青山;太平;荆州;山阴;长沙
方干@唐代,长安
赵嘏@唐代,汀州
黄庭坚@宋代,厌次
刘辰翁@宋代,齐州
郑谷@唐代,荆州
戴叔伦@唐代,抚州
郑燮@清代,石头城
朱敦儒@宋代,太平
白朴@元代,应
吴融@唐代,山西;松江
曹操@魏晋,会稽
屈原@先秦,应
吴文英@宋代,中山;苍梧
张九龄@唐代,山东;龙门
司马迁@两汉,邯郸;长平;东郡;大梁;夷门
卓文君@两汉,云间
陈子昂@唐代,应
刘克庄@宋代,山南
范成大@宋代,赤城
陈著@宋代,应
李世民@唐代,云梦泽
储光羲@唐代,昆明;云南
曹勋@宋代,孝感
李颀@唐代,东川
苏辙@宋代,汝阴;青山
李端@唐代,山东;长安
司空图@唐代,应
姜夔@宋代,上海
韩翃@唐代,江州
吴潜@宋代,甘州;江南
骆宾王@唐代,白马
贺知章@唐代,陈仓
宋之问@唐代,青山
于谦@明代,太原
戎昱@唐代,长安;上元
李益@唐代,咸阳
龚自珍@清代,京师
唐寅@明代,辽阳;江南
李绅@唐代,会稽
毛滂@宋代,朝阳;应
李曾伯@宋代,中兴
施肩吾@唐代,江南
蒋捷@宋代,应
张元干@宋代,应
晁补之@宋代,少陵;应
曹雪芹@清代,应
王之道@宋代,扬子;中兴;长沙
袁枚@清代,云中
沈佺期@唐代,长安;黄山
吕岩@唐代,金华
李洞@唐代,应
方岳@宋代,弘农
杨巨源@唐代,太原;河源
李德裕@唐代,云间;江南
晁端礼@宋代,应
元好问@金朝,南阳
元好问@元代,北海
薛涛@唐代,松州
陈陶@唐代,凤翔;应
葛长庚@宋代,青山
张养浩@元代,万年;青山
曹丕@魏晋,云间
李嘉祐@唐代,北地
秋瑾@清代,应
秋瑾@近代,应
李涉@唐代,上海;赤城
杨慎@明代,云间
雍陶@唐代,汉阳;岳阳
陈亮@宋代,应
关汉卿@元代,山后;朔州;邢州;上党;云阳;渭南;长安;江南;青山;太平;北海
王湾@唐代,应
虞世南@唐代,应
陈与义@宋代,青山
贾谊@两汉,大都;长治;淮南;长沙
曹邺@唐代,邯郸
黄裳@宋代,应
武则天@唐代,应
曾觌@宋代,长春
司马光@宋代,北海
徐再思@元代,江南
卢祖皋@宋代,江南
张志和@唐代,松江;巴陵
黄景仁@清代,湖州
王守仁@明代,江西
谢朓@南北朝,日照
李弥逊@宋代,扬州
张孝祥@宋代,淮南
周密@宋代,长安;江南
冯延巳@唐代,江南
元结@唐代,应
林逋@宋代,吴山;青山
梅尧臣@宋代,青山;池州
聂夷中@唐代,咸阳;黄石
庾信@南北朝,辽阳;代郡
张仲素@唐代,黄山
杨冠卿@宋代,赤城
萧衍@南北朝,邯郸;洛阳;长安
杨基@明代,应
鲍令晖@南北朝,应
徐铉@唐代,白马;扬子
崔国辅@唐代,应
谢灵运@南北朝,武城;兰陵
刘绘@明代,西城
杨维桢@元代,元城
殷尧藩@唐代,应
鲍照@南北朝,云浮
嵇康@两汉,大同;太平;太和
陈师道@宋代,山东
杜审言@唐代,江东
张衡@未知,应
郎士元@唐代,无锡
宋濂@明代,来宾
戴复古@宋代,九江
刘基@明代,辽东
王禹偁@宋代,应
陈羽@唐代,应
汪遵@唐代,延平
江淹@南北朝,太平;河源
苏洵@宋代,应
张谓@唐代,吴门
陆机@魏晋,陈留
归有光@明代,江南
高蟾@唐代,日照
汪元量@宋代,应
曾巩@宋代,滁州
贾至@唐代,阳翟
左思@魏晋,长春;云中;中山;吕梁;邯郸;中州;三川;西京;阳城;中兴;巴中;延陵;东吴;会稽;成都;武昌;金华;桂林
洪咨夔@宋代,汉中;中兴
