杜甫@唐代,赤甲;巫山楚水春;荆州
李商隐@唐代,南省恩深宾馆
李白@唐代,金陵
白居易@唐代,袖中;吴郡;杭州
苏轼@宋代,汝南;历乱瓦沟;汝南
王维@唐代,上州;浔阳;澄湖;庐山
刘禹锡@唐代,芷江兰浦恨无梁
陆游@宋代,成都;成都;燕脂;合浦
王安石@宋代,沅江;沅田
齐己@唐代,汉阳;沈青霭
辛弃疾@宋代,南山
李清照@宋代,吴江;玉门;昆阳;涿鹿;九十一路;安石;长沙
纳兰性德@清代,翠岛
杜牧@唐代,安邑;奉诚园
陶渊明@魏晋,长沙;昭穆;浔阳;九江;临路
孟浩然@唐代,台岭;耶溪;晴山
元稹@唐代,四贤镇岳宁;五常
柳宗元@唐代,歊阳;佩浦
韩愈@唐代,东马
岑参@唐代,青门;关东;莫作东飞伯劳西
欧阳修@宋代,河南;雄西;官古县
王昌龄@唐代,汾阴
杨万里@宋代,金华;龙焙;北苑
罗隐@唐代,莫厌东
张祜@唐代,塞庭
范仲淹@宋代,乱峰
王建@唐代,西营
姚合@唐代,缘嫌寺
钱起@唐代,梁国
黄庭坚@宋代,南山
贺铸@宋代,曲门南
皇甫冉@唐代,空江;汀洲
文天祥@宋代,关河
贾岛@唐代,竹丛西
韦应物@唐代,东山;蓝溪寺
曹操@魏晋,昆仑山;蓬莱;华山;伯阳
柳永@宋代,屏山
温庭筠@唐代,吴江
刘长卿@唐代,江南;金陵
李贺@唐代,邺城
曹植@魏晋,。阳
张籍@唐代,独唱乡
孟郊@唐代,上皋桥。皋桥路
皎然@唐代,。外镇
许浑@唐代,宛陵;萧寺;秋江
贯休@唐代,临山;平津
韦庄@唐代,文昌二十四仙曹
韦庄@五代,博山
陆龟蒙@唐代,汀洲
王勃@唐代,临高台;茂陵;帝乡;紫阁丹;赤城;君安;东园
屈原@先秦,九坑;灵衣兮
晏殊@宋代,马短亭
岳飞@宋代,秋风江;直欲镇
卢纶@唐代,五营
晏几道@宋代,倚遍玉城
周邦彦@宋代,望极关山
杜荀鹤@唐代,九华山
秦观@宋代,蓬壼
朱熹@宋代,武夷山;晴川;虹桥;五曲山;六曲;夜峰;鼓楼;九曲;桃源路
韩偓@唐代,胜仙乡
高适@唐代,嵩阳路
吴文英@宋代,中山;苍梧
皮日休@唐代,赤城;江南
马致远@元代,洛阳夹马营;华山;中原;北极;黄河;兴龙;卧牛城;西华山;钓鱼台;华山;汴梁;梁州;黄阁;摇摇华山;华山;仙山;梁州;蓬莱;商岭;玉门;尽教山;金冠玉圭;去寅宾馆;西岳华山;东京梁;华山;黄阁;华山;云阳市;云间;召离山;华山;清风岭;五岭;孤孤忄西忄西;那宫;高唐;江南;金殿;南山;西华山
方干@唐代,圣明;啼猿寺;荷湾;喧鱼市
李峤@唐代,杪冬岩;虹旗;。云区
权德舆@唐代,刺列城
左丘明@先秦,乾溪;荆山;晋及鲁;大城;楚国
赵嘏@唐代,松岛;橘州;武侯龙;江夜
张九龄@唐代,赵北;山东
司马迁@两汉,邯郸;邯郸;臣乃市;北乡;邯郸;北乡;东伐;函谷关;东郡
卓文君@两汉,汉宫
刘辰翁@宋代,闲听寺
郑谷@唐代,漠漠江
赵长卿@宋代,冷浸江;江南
戴叔伦@唐代,木落浦
郑燮@清代,金城
张炎@宋代,西湖
朱敦儒@宋代,江南路;西湖;临津;别浦
白朴@元代,景海
陈子昂@唐代,蜀山
刘克庄@宋代,向溪;龙泉
宋之问@唐代,阳桥
李世民@唐代,莲峰
晁补之@宋代,钳市;高丘;三峡;无阳;兮江;羲路
储光羲@唐代,太岳;伊川;关城
曹勋@宋代,清江
李颀@唐代,茅茨
方岳@宋代,飞涛江
曹邺@唐代,西山
司马光@宋代,东阁
苏辙@宋代,燕山;南来独;久尔縻郡县;中原
程垓@宋代,汉江
吴融@唐代,晋阳;湖口
李端@唐代,映城;巫山
司空图@唐代,九鼎镇
张孝祥@宋代,三峡;泻瞿塘
姜夔@宋代,西山
张乔@唐代,浦际;来往乡
马戴@唐代,关河;兰州;龙山北;汉水
韩翃@唐代,渤海;徐州;淮阴
吴潜@宋代,玉关
范成大@宋代,双溪;策策山
骆宾王@唐代,武陵春;蠲思北
贺知章@唐代,稽山
陈著@宋代,杏山;桐乡
于谦@明代,江村;堕江
王冕@元代,金鸡峰;松风阁
戎昱@唐代,武陵西
李益@唐代,鞭走马城;西原;燕雁;淮阴
龚自珍@清代,城花县
崔颢@唐代,横塘;九江;九江;三江
周密@宋代,燕翎;长安;江南
唐寅@明代,山东
李绅@唐代,二妃;湘浦
司空曙@唐代,山阳;晴宫
项羽@两汉,力拔山
毛滂@宋代,东野若为云
李曾伯@宋代,西其首;太乙
施肩吾@唐代,谩歌西
蒋捷@宋代,南塘;西湖
张元干@宋代,故宫;昆仑;耿斜河
曹雪芹@清代,白云堂
王之道@宋代,东城;矣江
袁枚@清代,空山
沈佺期@唐代,灞亭;岐路
向子諲@宋代,禹门;南云
蔡伸@宋代,去路;指南州;太湖
卢照邻@唐代,巫山
杨无咎@宋代,宁宁
冯延巳@五代,平林
冯延巳@唐代,高阁;五门;鸾旗;圣寿;南山
李之仪@宋代,青润
吕岩@唐代,迷津
李洞@唐代,彻山南州
吴均@南北朝,青琐;金墉城;摩顶;赵邯郸;长安;长安城
杨巨源@唐代,阴山;苏卿执;西宫;瑞光麟阁;斗星北
石孝友@宋代,柳溪;醉山;洛阳
王翰@唐代,沙沟;河源
李德裕@唐代,龙伯钓鳌;蓬莱;长溪
宋玉@先秦,燕翩翩其辞;去乡;骐骥兮安
晁端礼@宋代,东堂
元好问@金朝,太行;济源;晋溪波;。山;山阳;长安;并州
元好问@元代,渭水;南溟;北海
元结@唐代,临郡县;。州;大乡;去冬山;。州县
薛涛@唐代,白蘋洲
陈陶@唐代,江南
杨炯@唐代,雁门;萧寺
刘向@两汉,高阳;怀兰;马兮洞庭;石城;思南;龙卬;汨罗;南极;郢东;北斗;阳侯;中洲;倚石岩;江洲;思北;伊雒;崭岩;北宫;清府;昆仑;玉门;三危兮;九滨;咸唐;苍梧;五湖
葛长庚@宋代,三山
张养浩@元代,天罗;江南;离亭
曹丕@魏晋,郁郁河
吕渭老@宋代,安国
李嘉祐@唐代,蓬莱
秋瑾@清代,芒芒国;千金市;。空山;中原
秋瑾@近代,东海
李涉@唐代,云门;天竺;溳南寺
杨慎@明代,交河
雍陶@唐代,北阙云
朱淑真@宋代,西湖
陈亮@宋代,慈恩寺
关汉卿@元代,梁州;曾玩府;游州;东京
王湾@唐代,畿甸;农安;金省
虞世南@唐代,伊洛
陈与义@宋代,邓州;远川
贾谊@两汉,四荒乡;承祖庙;亲兄之子西乡;济北;淮阴;淮南;三四十县;淮阳;淮南;济北;淮阴;淮南;长沙;长沙;方倒县;倒县;亶倒县;威震海;德泽亡;笞弃市
黄裳@宋代,东藩
武则天@唐代,永宁
崔涂@唐代,清阴;暮城
曾觌@宋代,玉山
王观@宋代,比庄
羊士谔@唐代,南山步
崔道融@唐代,百二山河
李隆基@唐代,宫县;动会昌;宴杖乡
林逋@宋代,卧春阴;北园;南陌
薛逢@唐代,隋家宫;朝廷恩;昭州;逝川
徐再思@元代,丹山
黄机@宋代,广寒宫;维城
卢祖皋@宋代,江南
张志和@唐代,西塞山;春江;长江;霅溪湾;松江;青草湖;巴陵
黄景仁@清代,残山;瘦岛
杜安世@宋代,西江
向滈@宋代,水村
王守仁@明代,千峰
谢朓@南北朝,北梁辞;南浦
李弥逊@宋代,三弄;东城佳;西池
裴迪@唐代,桃源
梅尧臣@宋代,峨峨;淮山;石路;西岭
王禹偁@宋代,长沙;汀洲
庾信@南北朝,高新堰;王城
李梦阳@明代,横江;汀洲;康山;巍庙
萧衍@南北朝,洛阳;邯郸右;南皮
萨都剌@元代,金陵
沈如筠@唐代,河洲;天台山
杨基@明代,。见说岭
鲍令晖@南北朝,九里
范云@南北朝,。江;上今如斯
李东阳@明代,居庸东;万仞山
徐铉@唐代,景陵;扬雄
崔国辅@唐代,襄阳城;城中
张继先@宋代,瓮杵
文同@宋代,晴湖
徐坚@唐代,曲浦;杜若洲
谢灵运@南北朝,镇江陵;灵溪
冯惟健@明代,东海;茂陵
何景明@明代,云残
殷尧藩@唐代,蓬莱
鲍照@南北朝,高门;临长河
嵇康@两汉,孰克
陈师道@宋代,沧洲;。江乡
王贞白@唐代,巘路
阮籍@魏晋,苏门;据阳;蓬山;南山;东海;渭北;咸阳;山东;。阳;。召平;虚州;炎阳;昆仑;冷阳;。阳;黄山
李密@隋代,樊哙市
杜审言@唐代,毗陵;江东
张衡@未知,远山
郎士元@唐代,秋江
宋濂@明代,刹江;金华山;浙河;大明;钟阜
刘希夷@唐代,清洛;浮桥;华洲
戴复古@宋代,玉山颓
刘基@明代,圯桥;吴山
李纲@宋代,万古秣陵;江国
刘彻@两汉,南山;蛮夷
陈羽@唐代,。秋山
王炎@宋代,秦望山
汪遵@唐代,延平
江淹@南北朝,正神县
苏洵@宋代,弃置沟
张谓@唐代,衡门
翁卷@宋代,古谢村
陆机@魏晋,三江;秘阁;惟南
归有光@明代,丘文庄;公乡
高蟾@唐代,日宫
汪元量@宋代,江南
聂夷中@唐代,中国
赵鼎@宋代,江南;香罗
曾巩@宋代,南山
米芾@宋代,宜春
秦韬玉@唐代,花明;驿路;燕脂暖;江亭;莫把
贾至@唐代,洛阳
谭嗣同@近代,四千里外关河
毛文锡@五代,巫山;楚江
左思@魏晋,班固;赋西;西京;。昔市;洞庭;赤县;魏都;万邑;燕赵;南瞻;清庙;崇山;西辟;延秋;长春;显阳;顺德;崇礼;有章。亚;永巷;吕梁;亢阳;台於;华山;四门;甘荼;斯阜;府寺;奉常;大理;吉阳;周坊;圣武;甸甸;西倾;荆南;骤山;文昌;福应;任城;虎涧;龙山;常山;河间;易阳;邯郸;中山;襄邑;清河;逾山;重山;长川;成都;吴都;赋东;延陵;衡岳;数州;百川;造江;灵山;皋泽;争接县;衡山;金华;。陵;。煮海;长洲之茂苑;窥东山;武昌;崇临海;。列寺;阳路;鄱阳;石城;叠山;丰隆;三江;闽禺;。北山;洞庭;桂林;胤阳;灵於;阙沟;仰南;东吴;蜀都;东吴;二江;茂八区;含溪;怀谷;漏江;金沙;昆仑;咆其阳;巴中;灵寿;丹沙;岷山;兰皋;夹江;傍山;帀中区;成都;瞰江;武义;崇礼;少城;番禺;彭门;三峡;滇池;江洲;岷山;江汉;临谷;长城
洪咨夔@宋代,宜宾;衡山
张泌@唐代,咸阳
张旭@唐代,须倩
吴伟业@清代,上林
乔吉@元代,百花洲;蓬莱
何梦桂@宋代,江南
查慎行@清代,香山;宿莽;。废寺
张辑@宋代,寿清;湘碧;西湖;梅早;儿拟山
